superevent_id,gw_name,catalog,n_analyses,n_per_analysis,distance_Mpc_median,distance_Mpc_q05,distance_Mpc_q95,viewing_angle_deg_median,viewing_angle_deg_q05,viewing_angle_deg_q95,p_viewing_angle_below_30deg,mass_1_source_median,mass_2_source_median,p_m2_below_3Msun,network_snr_median,trigger_time_gps,analyses,source_file,created_utc
S240615dg,GW240615_113620,GWTC-5.0,4,5000,1566,1123,1849,24.4,6.5,51.1,0.647,34.1,26,0.000,23.9,1402486598.724,C00:IMRPhenomXPHM-SpinTaylor;C00:IMRPhenomXPNR;C00:NRSur7dq4;C00:SEOBNRv5PHM,IGWN-GWTC5p0-29ebe06b7_25-GW240615_113620-combined_PEDataRelease.hdf5,2026-09-23T16:40:28Z
S241125n,GW241125_010116,GWTC-5.0,4,5000,4748,2600,8611,55.8,15.6,86.0,0.168,59.3,46.1,0.000,,1416531694.780,C00:IMRPhenomXPHM-SpinTaylor;C00:IMRPhenomXPNR;C00:NRSur7dq4;C00:SEOBNRv5PHM,IGWN-GWTC5p0-29ebe06b7_25-GW241125_010116-combined_PEDataRelease.hdf5,2026-09-23T16:40:29Z
